,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
148,Kitwana's Journey,2019,NA,"
Short            ",NA,NA,Ng'endo Mukii,,NA,Add a Plot
149,Building Hope,2011,70 min,"
Documentary, Family            ",NA,NA,Turk Pipkin,,NA,Filmmaker Turk Pipkin promises to help build the first high school for a remote African community and connects Americans and Kenyans in a true story of Building Hope.
150,The Space Between,I 2015,89 min,"
Documentary, Drama            ",NA,NA,Kimberly North,"Travis North,Juli McGowan Boit",NA,What medical care could you afford on less than a dollar a day? The Space Between examines the effects of poverty on healthcare through the stories of four individuals struggling with ...                See full summary »
151,Subira,2007,12 min,"
Short, Drama            ",NA,NA,Ravneet Sippy Chadha,,NA,"Subira, an 11 yr old rebellious Muslim girl's life is thrown into tumult after she comes of age and is expected to wear the veil. She is a free-spirited girl who wants to live by the same ...                See full summary »"
152,Vamos,2015,82 min,"
Documentary, Biography, Sport            ",NA,NA,María Alejandra Guerrero Rocca,"Braulio Rodriguez,Shadrack Maiyo,Maickel Melamed",NA,You will never know how far you can go.
153,The Connected Cup,2019,85 min,"
Documentary, Adventure            ",NA,NA,Brooke Bierhaus,"Brooke Bierhaus,Tirunesh Legas,Leah Lekerimui,Mandala",NA,"Coffee and tea are a global language of connection, and the role of clean water is an integral component to this language. What started as a fascination with coffee, turned into a journey ...                See full summary »"
154,What's on Your Mind?,2018,7 min,"
Short, Drama            ",NA,NA,Antony Ndung'u,"Mwajuma Belle,Nancy Wanjiku Karanja,Joe Kinyua",NA,"In a world full of social media pressure, a lady tries hard to stay afloat, compete and impress the public. She ends up messing herself. Is hope lost? What's on her mind?"
155,The Captain of Nakara,2012,87 min,"
Comedy, Romance            ",7.7,NA,Bob Nyanja,"Bernard Safari,Shirleen Wangari,Charles Kiarie,Charles Bukeko",58,"Afraid of losing the woman of his dreams, Muntu, a small fry criminal, pretends to own a profitable market stall. His honest attempts to turn his lies into reality fail, due to the ...                See full summary »"
156,Taliya,2021,118 min,"
Drama, Fantasy            ",NA,NA,Arnold Mwanjila,"Olwenya Maina,Mwajuma Belle,Joseph Omari,Brian Ogola",NA,A poor but ambitious fisherman enslaves a mermaid-like water spirit and exploits her and her abilities for wealth and power.
157,Big Dream,2014,90 min,"
Documentary, Biography, Drama            ",6.6,NA,Kelly Cox,"Said Alharbi,Cassidy Williams",6,"Big Dream follows the intimate stories of seven young women who are breaking barriers and overcoming personal challenges to follow their passion in science, math, computing & engineering."
158,Between the Rains,,NA,"
Documentary            ",NA,NA,Andrew Harrison Brown,,NA,"In a remote corner of northern Kenya, a disgraced shepherd boy questions his cultural identity while his village questions why the natural world around them is growing increasingly harsh and unpredictable."
159,MisFit,2018,5 min,"
Short            ",NA,NA,Karanja Ng'Endo,"Sandra Chebet,Isaac Mwaura,Joan Nato,Leah Ngoje",NA,An exploration of race and color. What happens when a person is too Black to be white and too white to be Black? An experimental look at albinism and color in the Black community.
160,I Want to Be a Pilot,2006,10 min,"
Short            ",6.8,NA,Diego Quemada-Díez,"Collins Otieno,Gaudencia Ayuma Schichenga,Kepha Onduru,Joseph Kyalo Kioko",170,Omondi lives in the biggest slum in East Africa. Everyday he sees airplanes fly over him. He dreams of becoming an airline pilot and flying far away.
161,Ivory. A Crime Story,2016,87 min,"
Documentary, Crime, Drama            ",6.4,NA,Sergey Yastrzhembsky,Jeff Koinange,17,"3 years of shooting, 30 countries, over 250 hours of raw material provided the basis for the investigation documentary «IVORY. A CRIME STORY» about the causes and consequences of an ...                See full summary »"
162,Time for School: 2003-2016,2016 TV Movie,85 min,"
Documentary            ",NA,NA,Nina Chaudry,,NA,"Time for School: 2003 - 2016 puts a human face on an underreported global crisis, by spotlighting the 12-year journey of five extraordinary children in five countries as they struggle to get a basic education."
163,Africa First: Volume One,2010,122 min,"
Drama            ",6.5,NA,Jan-Hendrik Beetge,"Jenna Cato Bass,Dyana Gaye,Wanuri Kahiu,Chantelle Burger",17,An anthology of four short films from new African filmmakers.
164,Charcoal Traffic,2008,8 min,"
Short, Drama            ",7.2,NA,Nathan Collett,,18,A dramatic story of two brothers trapped in a murderous cycle of environmental and cultural devastation in Somalia.
165,Blood River Crossing,2013 TV Movie,46 min,"
Documentary            ",8.2,NA,Richard Slater Jones,"Richard Slater-Jones,Graeme Duane,Giancarlo Esposito",9,"In the most brutal migration on the planet, ride shotgun with ZuluEchoFive and FoxtrotOne, a zebra mother and her son. They run the gauntlet through crocodile infested rivers and lion ...                See full summary »"
166,The Wedding Camels,1980,103 min,"
Documentary            ",6.7,NA,David MacDougall,Judith MacDougall,17,"An account of a marriage among the Turkana, an isolated pastoral tribe of the dry thorn-country of northwestern Kenya."
167,The Great Real Indian Kitchen,2021,NA,"
Short, Drama            ",NA,NA,Dinu Oruvannoor,"Soorya Girish,Girish Gopinath",NA,"Shot in response to The Great Indian Kitchen, which depicts the enslavement of a new bride in a traditional Keralian household, The Great Real Indian Kitchen films the everyday domestic ...                See full summary »"
168,New Moon,2018,NA,"
Documentary            ",6.0,NA,Philippa Ndisi-Herrmann,,5,Add a Plot
169,Tolstoy the Tomato Thief,,NA,"
Documentary            ",NA,NA,Kire Godal,,NA,From below Mt Kilimanjaro comes a story about a new Africa for Tolstoy and his elephant kind. 'Tolstoy The Tomato Thief' is the story of an unlikely friendship about a farm boy and his sworn enemy - a large bull elephant.
170,African Independence,2013,120 min,"
Documentary, History            ",NA,NA,Tukufu Zuberi,Tukufu Zuberi,NA,African Independence is a feature length documentary covering the most epic story of the most important events to happen on the African continent since enslavement and colonization by ...                See full summary »
171,The Last Frontier,1974 TV Movie,NA,"
Documentary            ",NA,NA,Roger Ailes,"Roger Ailes,Robert F. Kennedy Jr.",NA,Add a Plot
172,Leo,I 2012,105 min,"
Adventure, Drama, Fantasy            ",NA,NA,Jinna Mutune,,NA,"Adult fairytale. A film that depicts an insightful, positive view of life in Kenya as seen through the eyes of a Massai boy who wants to be a superhero and live out his dreams in his ...                See full summary »"
173,The Sound Man,2015,27 min,"
Documentary, Short, History            ",NA,NA,Chip Duncan,,NA,"'The Sound Man,' is a documentary short featuring 62-year-old location sound engineer Abdul Ramadhan. After graduating from a local madras in central Nairobi, Abdul learned his craft on the...                See full summary »"
174,Balloon Safari,1975,54 min,"
Documentary            ",NA,NA,Alan Root,,NA,"Using a hot-air balloon to film sequences for Survival: Survival Special: The Year of the Wildebeest (1974), Alan and Joan Root further explored its usefulness to film animals on the ...                See full summary »"
175,On Your Marks,2016,29 min,"
Short, Drama            ",NA,NA,Cajetan Boy,"John Lubhale,Wambui Ngari,Brian Njoroge,Arjen Westra",NA,Add a Plot
176,From Gulf to Gulf to Gulf,2013,83 min,"
Documentary, History, Music            ",5.7,NA,Shaina Anand,Ashok Sukumaran,13,"A boat has many powers: to gather a society in its making, to distribute goods, to carry people and ideas across places that, it seems to us, are more different than ever before. From Gulf ...                See full summary »"
177,All Girls Together,2008,78 min,"
Drama            ",NA,NA,Nick Njache,"Nice Githinji,Charles Kiarie,Janet Kirina,Maqbul Mohammed",NA,Add a Plot
178,Cry Baby Cry,2018,NA,"
Short, Drama            ",NA,NA,John Thomas,"Eliza Ciza,Nicolas Kashindi,Nancy Nakeny",NA,"When a young African mother is left out alone with nothing but her faith, she tries to find a way to battle the hardships and keep her baby, despite the daily challenges of the Kakuma Refugee camp and its tough life conditions."
179,Abaabi ba boda boda,2015,85 min,"
Crime, Drama            ",7.2,NA,Donald Mugisha,"James Tayler,Hassan 'Spike' Insingoma,Saul Mwesigwa,Prossy Rukundo,Michael Wawuyo",23,"Even though he is only 15 years old, when his father is injured in a road accident Abel takes up the responsibility of manning the family 'boda boda' to provide for the family. Abel however...                See full summary »"
180,Last Chance,IV 2016,13 min,"
Documentary, Short            ",NA,NA,Jamie Lucas,Stephen Tompkinson,NA,"Last Chance is a short documentary looking at the movement of modern conservation in the 21st century, focusing in on the dangerous situation that millions of species are currently facing ...                See full summary »"
181,When Giants Fall,2015,78 min,"
Documentary, Crime, War            ",7.3,NA,Leslie Griffith,Kathi Lynn Austin,14,The ivory trade is a cruel business. Every 15 minutes an elephant is killed for its ivory. 65 percent of the continents elephants have been killed for their ivory in the last five years. ...                See full summary »
182,The Aviatrix,2015,80 min,"
Documentary, Adventure, History            ",6.9,NA,Annette Porter,"James Bevan,Tracey Curtis-Taylor,Marius Gabriel,Kate Silverton",19,"In 1928, Lady Heath became the first person to fly solo from Cape Town to London. Eighty-five years later, Tracey Curtis-Taylor sets out in a vintage biplane to retrace her flight. Her ...                See full summary »"
183,Kigorogoro,,NA,"
Action            ",NA,NA,Ikenye De Romeo,"Hellen Muthoni,Ann Wanja Kahara,Linus Kabiga,Keziah Mugure Ngumba",NA,"Gitekomba is a young guy whose life is being ruined by illicit brew, He is married to Njambi who always tries to conceal her husband's weakness. Gitekomba's mother supports him financially ...                See full summary »"
184,The Last Fight,2015,NA,"
Documentary            ",NA,NA,Jackie Lebo,,NA,"Two of Kenya's most renowned boxing clubs are fighting for their survival. For Ndirangu ""Coaches"" Mahungu, head of the Dallas Boxing Club, the price of continuing the club's boxing heritage...                See full summary »"
185,Nightrunners,2015,88 min,"
Drama, Thriller            ",5.6,NA,Rowan Nielsen,"Mandi Nicholson,Grace Glowicki,Esther Asinga,Teresa Asinga",8,"Nightrunners is a thriller set on a remote Kenyan island and based on the true legend of the area. Isobel travels with her best friend, Jessica, to the malaria plagued island to help out at...                See full summary »"
186,Into the Rift,,NA,"
Documentary            ",NA,NA,NA,,NA,"The journey to unite and protect the Rift Valley and it's communities through scientific breakthroughs, innovation, and courage in the face of political instability, climate change, and regional unrest."
187,Amazing Grace,II 2015,7 min,"
Short, Drama            ",NA,NA,Cajetan Boy,"Emmanuel Laboso,Melissa Nyaboke,Martin Okwalloh",NA,Add a Plot
188,The Harvesters,2018,6 min,"
Documentary, Short            ",NA,NA,Derek Howard,,NA,"""The Harvesters"" is a short observational documentary about three Maasai men harvesting honey in the Mau Forest in Kenya. Without any dialog, carefully framed landscape cinematography ...                See full summary »"
189,Kibera Kid,2006,12 min,"
Short, Drama            ",8.3,NA,Nathan Collett,"Ignatius Juma,Godfrey Ojiambo,Godfrey Twanga",44,"The story of Otieno, an orphan and aspiring musician caught in a life of petty crime in Kibera, Africa's largest slum. Otieno's only family are the Razors, a gang of thieves."
190,The Secret of the Kenyan Runners,2020,90 min,"
Documentary            ",NA,NA,Barbara Gräftner,,NA,Add a Plot
191,The Hustler,2014,7 min,"
Documentary, Short, Adventure            ",NA,NA,Jon Kasbe,,NA,"Moses is a hustler. He makes bracelets, hats, bags, and anything else that will sell to survive in Nairobi, where hawking is illegal. Creating music has always been something he loved. Now ...                See full summary »"
192,Ni sisi,2013,92 min,"
Comedy, Drama, Romance            ",7.8,NA,Nick Reding,"Ednah Daisy,Peter Paul Kades,Ali Mohammed Mlatso,Triza Musimbi",31,"Ni Sisi tells the story of a typical Kenyan village, a harmonious muddle of tribes, intermarriages and extended families, in the context of post-election violence. The characters explore ...                See full summary »"
193,318,2019,NA,"
Short            ",NA,NA,John Jumbi,"Douglas Muigai,Marrianne Nungo,Ywaya Xavier",NA,"In a catastrophic future, an oppressed populace has to search deep within themselves to fight back against a tyrannical system."
194,The Fourth World,2011,55 min,"
Documentary, Adventure, History            ",7.1,NA,Mark Volkers,Mark Volkers,49,"A quick look at the slums of Nairobi, Guatemala City, and Manila."
195,Nomos,2012 Video,30 min,"
Documentary, Short, Drama            ",NA,NA,Andrea Gadaleta Caldarola,,NA,"""The sacred man is the one whom the people have judged on account of a crime. It is not permitted to sacrifice this man, yet he who kills him will not be condemned for homicide."" (Festo, ""...                See full summary »"
196,Muigwithania,2010,88 min,"
Drama, History, Thriller            ",NA,NA,Amit Tyagi,"Tom Alter,Tonny Ernest Njuguna,Mehul Savani,Prachi Thadani",NA,"In 1954, in Kenya, 2 MAU MAU fighters seek shelter in an ASIAN shopkeepers house for the night. This movie is about what happens in the interaction between them through the night"
197,Minutes to Die: The World's Ignored Health Crisis,2017,78 min,"
Documentary            ",9.0,NA,James Reid,Pip Gilmour,9,"From a Kenyan hospital to a rice paddy in India, victims of venomous snakebites are the faces of death and disability, caught in a global crisis the world knows little about."
198,The Last Safari,2013,74 min,"
Documentary, Adventure, Biography            ",7.0,NA,Matt Goldman,Elizabeth Gilbert,18,THE LAST SAFARI 'The road less traveled just got paved.' Renowned Photo-journalist Elizabeth L Gilbert sets out on an unforgettable journey through remote Africa to reconnect with the ...                See full summary »
199,Supermodel & Elephants - Glamour Magazine's Doutzen Kroes on a Mission,2016,NA,"
Documentary, Short            ",NA,NA,Kire Godal,"Sunnery James,Doutzen Kroes",NA,Add a Plot
200,Intellectual Scum,2015,15 min,"
Short, Drama            ",NA,NA,Njue Kevin,"Niki Behr,Jason Corder,Mkamzee Chao Mwatela,Patrick Oketch",NA,"On board a commercial airplane, (Ruwe) an African intellect, sits next to a white man (Walter). In their conversation, which is utterly brutal, honest and to some racist, Walter blames the ...                See full summary »"
201,The Space Between: Maggie's Story,2015,36 min,"
Documentary, Short            ",NA,NA,Kimberly North,Travis North,NA,What medical care could you afford on less than a dollar a day? 'The Space Between' examines the effects of poverty on healthcare through the story of young mother battling cancer in a ...                See full summary »
202,Tidelines,2013,95 min,"
Documentary, Adventure, Sport            ",NA,NA,Andrew Naysmith,Arwen Hunter,NA,"Two brothers and a friend set sail on a three-year, 37,000-mile oceanic journey in search of adventure but their plans are quickly run aground by the plastic on the beaches."
203,Power of Love (Celine Dion Fans in Kenya),2011,9 min,"
Documentary, Short, Comedy            ",NA,NA,Joyce Wong,,NA,"In rural Kenya, we discover a group of Maasai warriors who express a bizarre fascination with the Canadian musical icon, Celine Dion. Through interviews about the role that her music has ...                See full summary »"
204,I Promise Africa,2003,3 min,"
Documentary, Short            ",NA,NA,Jerry Henry,,NA,Add a Plot
205,The Sacrifice,IV 2021,NA,"
Thriller            ",NA,NA,Douglas,"Aditya Lakhia,Lawrence,Kendrixx Peter Munna,Stephen Mwangi",NA,Add a Plot
206,Poker,II 2019,49 min,"
Drama            ",NA,NA,Dancurf Brown,"Ruth Maingi,George Mo,Gibson Hausa",NA,"The story through the main character, Tamara, enables the viewer to get inside the lives of married ladies who live with the scourge of marital violence across the world and learn what makes them tick."
207,Sex to Survive,2007 TV Movie,NA,"
Documentary            ",8.7,NA,Nathan Collett,,10,"In Kibera, the largest slum in Africa, young women are struggling to survive. Many turn to prostitution to feed their families. Many of the men refuse to use condoms, and thus HIV/AIDs is rampant."
208,Roho,2006,16 min,"
Short, Drama            ",2.8,NA,Cajetan Boy,"John Wayne Buganza,Hannington Bugingo,Samuel Ibanda,Lupita Nyong'o",11,Add a Plot
209,Sendepause,2014,4 min,"
Short, Drama            ",NA,NA,Tigist Helen Schmidt,"Antony Ndung'u,Tigist Helen Schmidt",NA,A young woman's return to the father of her child.
210,Iseta: Behind the Roadblock,2008,NA,"
Documentary            ",7.5,NA,Juan Reina,,9,"April 1994, on a quiet road in Kigali a group of neighbors was filmed. But this was the opening days of the Rwandan Genocide. This documentary re-visits the scene following the cameraman, ...                See full summary »"
211,Practice: Change - The Africa Yoga Project Story,2011,17 min,"
Documentary, Short, Biography            ",NA,NA,Dina Rudick,,NA,"Practice: Change is the story of how one woman's idea to bring yoga to some of the biggest slums in the world caught on like wildfire and is transforming lives, communities, and possibly ...                See full summary »"
212,A day in the life.,2021,5 min,"
Short, Drama            ",NA,NA,Erick Munene,"Sharon Gakenia,Israel Imani",NA,Add a Plot
213,Lost in Time,2019,109 min,"
Thriller            ",NA,NA,Peter Kawa,"George Mo,Lucy Njoroge,Alan Oyugi,Sheila Murugi",NA,"Sam is constantly dreaming of the day he almost lost his 6yr old daughter. Sam's friend, Michael, offers his SQ to Sam and his family to start a new life. However, Sam soon realizes that there are strange activities at Michael's house."
214,Road to Hope,2015,71 min,"
Documentary            ",7.4,NA,Mike Wargo,"Tonny Agondeze,Jacinto Amandua,Crispus Asasira,George Bazaire",10,"No Parents. No Food. No Future. Stranded in Sub-Saharan Africa, orphaned by an AIDS epidemic, thousands of children are left on their own, in need of a shepherd to save them."
215,Shower of Love,2014,74 min,"
Documentary, Biography, Drama            ",NA,NA,Matthew F. Smith,,NA,"In January of 2014, three American artists traveled to Nairobi, Kenya to build a structure out of found and recycled material that would serve as a monument to Autistic Children all over ...                See full summary »"
216,Woinshet,2009,18 min,"
Documentary, Short, Biography            ",NA,NA,Lisa Leone,Yetenayet Assefa,NA,"In Ethiopia, where marriage by rape and abduction had become the cultural norm, one thirteen-year-old girl stood up to tradition and changed her nation's laws."
217,You Again,II 2019,68 min,"
Romance            ",NA,NA,Nick Mutuma,"Amalie Chopetta,Mimi Mars,Nick Mutuma,Morris Mwangi",NA,Add a Plot
218,Africa Uncensored,2019,NA,"
Documentary            ",NA,NA,Fatima Lianes,,NA,Add a Plot
219,Time Trap,2021,11 min,"
Short, Adventure, Fantasy            ",NA,NA,Allan Bosire,"James Caesar,Catesharon Gakeni,Clinton Isaac,Rutherford Moenga",NA,A Time Traveller who is Trapped Back in Time and In The Process Comes Across Native Residents Whom She Has To Encounter With So She Can Travel Back To Her Timeline.
220,Our Dream of Water,2017,46 min,"
Documentary            ",NA,NA,Crystal Moselle,,NA,"Stella Artois and National Geographic Present: ""Our Dream of Water"" by Crystal Moselle Waterfront is a 3-part documentary film series that aims to find and tell the unique stories of women ...                See full summary »"
221,Kibo,,NA,"
Animation, Adventure, Family            ",NA,NA,NA,,NA,"A wildlife poacher forms an unlikely bond with a young elephant through a shared love for painting. As their worlds collide, he must choose between what is easy and what is right - the fate...                See full summary »"
222,Strata,2014,106 min,"
Crime            ",NA,NA,Cajetan Boy,"Omfwoko Aswani,Gilbert K. Lukalia,Sabina Stadler,Veronica Waceke",NA,Add a Plot
223,The Girl Child,2007,23 min,"
Documentary, Short            ",NA,NA,Lawrence Chen,Violet Barasa,NA,An exploration into the problems that Kenyan girls face as a result of traditional cultural beliefs and the story of one woman in her pursuit for an education.
224,Sea Change,I 2013,17 min,"
Documentary, Short, Biography            ",NA,NA,John Antonelli,Robert Redford,NA,"This half-hour documentary follows the grassroots efforts of Ikal Angelei, a 31 year-old Turkana native, to halt construction of the Gibe III dam in Ethiopia in order to protect the ...                See full summary »"
225,Akka,2015,80 min,"
Documentary, Biography, Drama            ",NA,NA,Jeffrey Elmont,"Djuric Ascenion,Edgar Davids,Rocky Hehakaija,Wasi Malik",NA,"Street Soccer has been around from the beginning of the game of soccer. But in 2000 a group of young boys in Amsterdam introduced a new form of the game, focusing on flair, style and ...                See full summary »"
226,Ten o'clock,2018,NA,"
Short, Drama            ",NA,NA,Tebandeke Samuel,"Nyawara Ndambia,Muriithi Mwangi,Edna Daisy Nguka",NA,"Over the course of four days, a young woman goes through a harrowing journey as she processes her mother's death."
227,The Distant Boat,2013,121 min,"
Action, Drama, Family            ",8.4,NA,Andy Brown,"Isis Adannaya Munyiva Muli,Joan Arigi,Philip Chege,Claude Judah",22,"A young man's life changes forever after a life-threatening encounter on the Kenyan coast. Now he must risk his job, his love, and his future for something even more important."
228,Get Some Money,2017,113 min,"
Comedy            ",NA,NA,Biko Nyongesa,"Shama Akhmal,Jean Akinyi,Odhiambo Akwa,Dennis Mwangi Dyb",NA,"Get Some Money is a representation of the biblical story of the betrayal of Jesus Christ. It seeks to put to light the plight of suicidal beings in an effort to advocate for world bodies, to increase awareness and #speakagainstsuicide."
229,Subira,2017,94 min,"
Thriller            ",NA,NA,Steve Ominde,"Whitney Cheruto,Stephen Katingima,Steenie Njoroge,Mike Onen",NA,"In modern day Africa, an ambitious, young journalist sets out to a remote village to document an untold story of a village girl with supernatural powers."
230,Sibini,2014,20 min,"
Short, Drama            ",NA,NA,Sam Soko,Paul Ogola,NA,Add a Plot
231,Lioness,2011,28 min,"
Documentary, Short, Drama            ",NA,NA,Lisa Cole,,NA,"LIONESS A story of hope and survival in one of the world's most notorious slums, where one out of four girls is raped every year. This short documentary film personalizes the global crisis ...                See full summary »"
232,Uncut,II 2016,20 min,"
Documentary, Short            ",NA,NA,Simona Ghizzoni,Emanuela Zuccala,NA,Women's alliances against female genital mutilations
233,Moto na Maji,2012,43 min,"
Documentary, Short, News            ",NA,NA,Grady Candler,"Joan Chittister,Kuki Gallmann,Sveva Gallmann,Richard Good",NA,"Moto na Maji documents how an extraordinary international group of religious leaders, social advocates, environmentalists, and artists gathered with local communities at the Great Rift ...                See full summary »"
234,On Beauty,2014,31 min,"
Documentary, Short, Biography            ",9.0,NA,Joanna Rudnick,"Rick Guidotti,Sarah Kanney,Nadia Merchant,Jayne Waithera",13,"ON BEAUTY follows fashion photographer Rick Guidotti, who left the fashion world when he grew frustrated with having to work within the restrictive parameters of the industry's standard of beauty."
235,Steve's Dream,2014,8 min,"
Documentary, Short, Biography            ",NA,NA,Robin Dianoux,Robin Dianoux,NA,"Some time ago I was staying in Kenya's capital Nairobi in a hotel, and Steve was one of the guards. While after two months we developed a friendship a deeper link was about to be built between us."
236,Reflections,II 2020,6 min,"
Short, Drama            ",NA,NA,Sarah Hassan,"Enos Olik,Sarah Hassan,Shadya Delgush,Patience Baraka",NA,Add a Plot
237,Fundi-Mentals,2015,87 min,"
Comedy            ",NA,NA,Alexandros Konstantaras,"Gerald Langiri,Charlie Karumi,Lizz Njagah,Ruth Maingi",NA,Joseph and his assistant Moses like to think of themselves as the Best handy men in Kinoo. The entry of a Multinational Company throws all this in jeopardy. They introduce to their customers a new express service.
238,The Cut,2009,12 min,"
Documentary, Short, History            ",NA,NA,Linda May Kallestein,,NA,6000 girls every day endure the pain of their genital flesh being sliced off.
239,Where Dreams Don't Fade,2011,77 min,"
Documentary, Biography, Drama            ",NA,NA,Martin Mudry,"Alex Nichols,Robert Kigen,Alexander Mneria,Virginia Rono",NA,The world knows Kenya as a nation that dominates distance running but few people know the athletes' stories. This film documents the lives and training of three runners who dream of ...                See full summary »
240,Pipe Dreams,II 2019,71 min,"
Documentary, Animation, Drama            ",NA,NA,Mojeri Coker,"Silvester Nzuki Mwami,Katavi Kingauwi,Joel Kisilu,Muthengi Yovo",NA,"A youthful affluent Kenyan strives to resolve the ceaseless drought in his impoverished village, but when life takes an unforeseen turn he finds himself from riches to rags struggling for water, and his quest becomes seemingly futile."
241,Well?,2010 Video,10 min,"
Documentary, Short, News            ",NA,NA,Steve Bull,Terese Svoboda,NA,"WELL? is a video essay about an African saline well, terrorism, and marriage. How would you know if your husband were a terrorist? My husband replaced me on a dhow expedition off Somalia, ...                See full summary »"
242,The Microlending Film Project (Newest Version),2011,55 min,"
Documentary, Biography, Drama            ",NA,NA,Rachel Cook,"Judy Hainaut,Anuja Jaitly,Rishi Jaitly,Anupama Joshi",NA,"The Microlending Film Project tells the stories of citizens on four continents who are mothers, wives, daughters - and entrepreneurs. Armed with microloans invested in increments as small ...                See full summary »"
243,Vital Voices: Hawa Abdi,2013,4 min,"
Documentary, Animation, Short            ",NA,NA,Aaron Kisner,,NA,"Dr. Hawa Abdi is Somalia's first female gynecologist. When the central government collapsed in 1989, Dr. Abdi's one-room clinic on her family farm began treating and housing local people ...                See full summary »"
244,Healing by Sharing: A Trip Through Kenya,2013,94 min,"
Documentary, Biography, Drama            ",8.3,NA,Michael Stock,"Carsten Cierocki,Carsten Cierocki",7,"Healing by Sharing is the movie of the Berlin filmmaker Michael Stock, who managed the sexual abuse by his own father in his last film Postcard To Daddy. Defeated a tongue cancer, he is now...                See full summary »"
245,The Flamingo Factory,2015,7 min,"
Documentary, Short            ",NA,NA,Turk Pipkin,,NA,The Nobelity Project stunning look at the critical threat to East Africa's millions of flamingos from proposed soda ash mining at Lake Natron in Tanzania. Local acts have global impacts.
246,Where am I?: Beyond Girl and Woman,2015,100 min,"
Documentary            ",NA,NA,Hyojung Kim,,NA,This film explores the conflict between the people who want to keep the tradition of FGM and those against it.
247,Home is not a place,2016,15 min,"
Documentary, Short, Biography            ",NA,NA,Clara Trischler,,NA,"""Home is not a place"" tells the story of a Slovak nuclear family, who live in Kenya and Bangladesh in the late 1960ies and 70ies amidst the commotion of Prague Spring. Eventually they have ...                See full summary »"
248,Kibera!,2015,56 min,"
Documentary            ",6.8,NA,Kati Juurus,Abdallah Musa,12,"For Kibera! is a story of a self-taught radio journalist and cameraman Boy Dallas, who lives in one of Africa's largest slums. He starts wondering why his native slum Kibera stays poor ...                See full summary »"
249,Tumbaku,2017,6 min,"
Documentary, Short            ",NA,NA,Tom Dilley,,NA,Add a Plot
250,Street Muse: Kenya,2014,80 min,"
Documentary, Adventure, Music            ",NA,NA,Meryl O'Connor,,NA,"Gull, an American street musician, travels to Kenya as part of an ongoing project to explore and share street music culture around the world."
251,An Unexpected Family: Story from a Slum,2010,46 min,"
Documentary, Drama            ",NA,NA,Riyad Barmania,,NA,Sometimes fate has different plans for your life then the ones you imagined. Hanne Howard was a typical mother leading a suburban life when while on safari in Kenya she had a chance ...                See full summary »
252,The man who wanted to change the world,2016,90 min,"
Documentary            ",NA,NA,Mariette Faber,,NA,African-born artist Peter Westerveld claims he has developed a solution to combat desertification and ultimately climate change. His designs for restoring the water cycles in Africa are ...                See full summary »
253,Esmeralda,,NA,"
Drama            ",NA,NA,NA,,NA,"A young woman rises from humble beginnings in pursuit of her dream of being a ballerina, no matter the obstacles life puts in her way."
254,Listen: A New African Narrative,2009,38 min,"
Documentary, Short, Biography            ",NA,NA,Austin Flack,Ciona Rouse,NA,Five leaders from the African continent transforming their communities through hard work and persistent prayer.
255,Standards of Beauty Through Ages,2016,NA,"
Documentary            ",NA,NA,Eslam Mosbah,,NA,"What is beauty? Tall, short, fat or skinny, green eyes, blue eyes, or black? What about skin colour? What do we care about the most: beauty of the face, or the body? What makes a human ...                See full summary »"
256,When the Water Ends,2010 Video,16 min,"
Documentary, Short, News            ",NA,NA,NA,,NA,"As temperatures rise and water supplies dry up, semi-nomadic tribes along the Kenyan-Ethiopian border increasingly are coming into conflict with each other. When the Water Ends focuses on ...                See full summary »"
257,Scarred: The Anatomy of a Massacre,2015,NA,"
Documentary            ",NA,NA,Judy Kibinge,,NA,Add a Plot
258,The People the Rain Forgot,2011,45 min,"
Documentary, News            ",NA,NA,Sophia Tewa,Joseph Walker,NA,The People the Rain Forgot is the story of how climate change and drought has ravaged the livelihoods of millions in Kenya. The documentary follows the country's farmers and nomads as they ...                See full summary »
259,TYL: Ten Years Later,2017,90 min,"
Documentary            ",NA,NA,Fabio Ilacqua,,NA,'Kibera: the biggest slum in Nairobi and probably throughout sub-Saharan Africa. I came here for the first time ten years ago. Kibera is a never-ending stretch of huts: there are no ...                See full summary »
260,Tribe,I 2009,16 min,"
Documentary, Short            ",NA,NA,Paul Plett,"Sammy Gatera,Fred Isabwa",NA,A look at the causes and effects of the post-election violence in Kenya in early 2008.
261,The New Environmentalists: From Myanmar to Scotland,2015 TV Movie,27 min,"
Documentary            ",NA,NA,John Antonelli,"Tom Dusenbery,Will Parrinello,Jill Eikenberry,Abie Hadjitarkhani,Robert Redford",NA,"The New Environmentalists share a common goal - safeguarding the Earth's natural resources from exploitation and pollution, while fighting for justice in their communities."
262,Love of My Life,,79 min,"
Documentary            ",NA,NA,Angie N. Russell,,NA,"You Haven't Lived, Until You've Loved"
263,The Mukuru Art Boyz,2017,27 min,"
Documentary, Short            ",NA,NA,A.R. Pashayan,,NA,"Five untrained artists form a family and create incredible pieces of art amidst living in the dark slums of Nairobi, Kenya."
264,Sanskriti,2015,55 min,"
Documentary, Biography, Drama            ",NA,NA,Melissa Balan,,NA,"Titled from the ancient Sanskrit word for 'culture', Sanskriti is a documentary filmed around the world, that captures the human experience in today's digital age. Following the lives of ...                See full summary »"
